"choice","incost","opcost","income","agehed","rooms","region"
"gr",987.04,179.86,"2",30,5,"scostl"
"gr",850.74,132.99,"5",60,3,"valley"
"ec",728.77,447.79,"7",30,7,"ncostl"
"gc",936.46,174.53,"7",25,3,"scostl"
"hp",926.1,176.18,"7",35,3,"scostl"
"ec",744.61,428.95,"3",35,6,"ncostl"
"ec",865.07,517.64,"7",45,2,"ncostl"
"gc",926.66,196.48,"2",50,4,"mountn"
"gc",899.64,162.01,"6",30,5,"scostl"
"gr",1083,182.29,"4",45,4,"ncostl"
"gc",848.83,191.55,"7",25,7,"ncostl"
"gc",679.29,175.03,"5",30,7,"scostl"
"gc",801.32,184.92,"2",30,6,"ncostl"
"gr",1161.9,211.35,"4",55,5,"ncostl"
"gc",630.56,113.87,"4",30,7,"scostl"
"er",1211.6,419.87,"6",65,2,"mountn"
"gc",821.36,190.82,"4",60,5,"valley"
"gr",1048.7,161.32,"5",50,2,"scostl"
"gc",938.01,201.71,"2",40,3,"ncostl"
"gr",809.28,160.19,"7",45,6,"scostl"
"gr",898.65,136.73,"7",35,5,"ncostl"
"gr",1133.1,191.4,"2",50,3,"scostl"
"gc",786.19,160.18,"2",55,3,"valley"
"ec",844.49,497.55,"2",65,7,"ncostl"
"gc",557.63,128.91,"5",30,3,"mountn"
"gc",851.18,182.51,"5",50,5,"valley"
"gr",709.3,88.107,"7",30,3,"mountn"
"er",842.66,379.19,"2",40,3,"mountn"
"gc",673.69,158.91,"2",50,4,"mountn"
"ec",848.33,493.4,"3",30,2,"scostl"
"er",800.33,427.51,"3",50,2,"scostl"
"gr",860.48,163.28,"5",40,6,"valley"
"gc",1026.1,186.14,"4",60,6,"valley"
"er",678.27,344.6,"5",25,3,"ncostl"
"ec",796.91,396.64,"3",20,5,"mountn"
"gc",852.2,197.52,"6",20,2,"ncostl"
"gr",693.55,151.78,"3",40,5,"ncostl"
"ec",687.19,373.92,"4",65,5,"valley"
"ec",853.06,432.3,"7",20,2,"scostl"
"er",1045.5,479.65,"3",20,7,"ncostl"
"gr",818.03,121.66,"6",55,3,"ncostl"
"er",1027.6,378.05,"7",50,4,"mountn"
"gc",732.49,185.2,"3",30,2,"ncostl"
"gc",829.72,176.63,"4",65,2,"ncostl"
"gc",708.34,150.39,"3",65,5,"ncostl"
"gc",984.84,201.15,"7",30,5,"ncostl"
"hp",1299,277.58,"5",55,6,"scostl"
"gc",763.27,189.92,"2",45,5,"valley"
"er",1191,519.21,"3",50,3,"scostl"
"gc",774.25,165.5,"4",25,7,"ncostl"
"gc",704.06,157.36,"5",40,7,"mountn"
"gc",790.09,171.03,"5",40,3,"scostl"
"gc",955.13,176.55,"4",25,2,"ncostl"
"er",904.07,402.01,"7",55,2,"valley"
"gc",826.07,165.28,"2",40,3,"ncostl"
"gc",698.69,121.44,"5",65,4,"valley"
"gr",964.67,155.27,"3",20,6,"ncostl"
"gr",927.72,130.55,"3",65,2,"scostl"
"gc",654.73,142.69,"2",25,4,"ncostl"
"gc",635.25,162.01,"4",65,4,"scostl"
"gc",825.13,191.62,"4",25,4,"mountn"
"er",785.01,344.07,"6",30,7,"scostl"
"gc",906.51,181.08,"5",35,3,"scostl"
"hp",966.85,249.63,"4",40,5,"valley"
"gc",753.61,169.07,"7",60,2,"scostl"
"gr",971.13,160.17,"4",50,2,"valley"
"ec",731.85,420.25,"2",50,3,"valley"
"gc",652.27,162.28,"4",25,4,"ncostl"
"er",830.4,302.24,"5",50,2,"scostl"
"gc",993.35,230.32,"2",50,4,"mountn"
"er",1097.3,456.23,"7",30,6,"mountn"
"gc",798.68,182.12,"2",65,7,"scostl"
"gc",848.43,170.96,"4",40,5,"scostl"
"gr",801.6,146.89,"3",60,3,"mountn"
"gc",790.3,153.51,"4",45,5,"valley"
"gc",890.01,179.41,"3",40,3,"scostl"
"gc",720.94,137.31,"7",50,2,"ncostl"
"gc",997.03,241.34,"4",35,5,"scostl"
"gr",819.04,163.76,"7",30,4,"scostl"
"gc",778.98,162.87,"2",40,2,"scostl"
"gc",734.22,157.59,"6",45,2,"valley"
"gc",803.19,198.49,"4",25,4,"valley"
"gc",624.21,194.56,"3",25,6,"ncostl"
"gc",864.76,172.98,"2",35,3,"scostl"
"er",672.49,363.51,"4",40,6,"scostl"
"gr",726.86,137.89,"5",30,7,"valley"
"gc",840.22,213.32,"7",55,2,"valley"
"gr",910.98,190.91,"2",35,3,"ncostl"
"gc",779.81,158.06,"2",20,3,"scostl"
"gc",956.86,184.62,"5",50,6,"ncostl"
"gc",869.97,181.72,"4",50,6,"scostl"
"gc",820.54,168.09,"6",55,3,"ncostl"
"gr",908.81,162.77,"7",65,6,"ncostl"
"gc",731.92,164.63,"6",60,3,"scostl"
"gc",557.55,131.43,"4",25,2,"mountn"
"gc",654.56,150.98,"5",40,5,"scostl"
"er",843.41,430.93,"6",25,2,"ncostl"
"gc",799.23,196.52,"6",20,7,"ncostl"
"ec",900.27,559.23,"6",45,3,"scostl"
"gc",517.98,85.217,"3",30,4,"mountn"
"gc",708.01,172.18,"5",50,2,"scostl"
"gc",877.38,199.89,"2",40,5,"ncostl"
"gr",1126.9,189.13,"5",40,7,"scostl"
"gc",827.2,184.8,"3",40,3,"valley"
"gr",768.48,107.03,"4",65,6,"ncostl"
"gc",805.45,188.85,"3",45,4,"ncostl"
"ec",733.65,406.22,"3",40,2,"scostl"
"gc",727.54,159.31,"4",65,3,"ncostl"
"gr",951.14,136.15,"3",50,2,"valley"
"gr",971.81,181.96,"3",65,6,"scostl"
"gc",757.28,145.55,"4",40,6,"valley"
"gc",883.47,175.87,"2",20,5,"ncostl"
"gr",919.35,166.56,"2",40,6,"mountn"
"gc",844.66,210.42,"4",60,2,"ncostl"
"gc",895.04,204.21,"7",40,7,"ncostl"
"gc",746.14,178.24,"7",20,4,"ncostl"
"gc",726.52,183.02,"7",40,3,"valley"
"gc",736.15,175.32,"5",35,7,"ncostl"
"gc",916.82,222.62,"2",60,6,"ncostl"
"gc",971.48,198.24,"3",35,2,"valley"
"hp",760.93,154.18,"3",55,2,"mountn"
"gr",811.08,152.61,"7",20,3,"ncostl"
"gc",896,199.36,"5",55,6,"scostl"
"gr",899.99,190.97,"4",35,3,"scostl"
"gc",856.17,190.45,"5",65,2,"ncostl"
"gc",919.57,156.25,"2",60,5,"scostl"
"gc",605.18,168.55,"6",40,5,"ncostl"
"gc",672.3,148.63,"3",35,6,"scostl"
"ec",700.38,392.54,"6",60,6,"scostl"
"gc",896.39,200.66,"2",35,7,"mountn"
"gc",630.94,157.65,"7",65,2,"valley"
"gr",709.22,133.3,"4",65,4,"scostl"
"ec",943.57,451.49,"4",30,7,"valley"
"gc",673.76,163.52,"6",25,3,"ncostl"
"er",956.89,515.94,"6",35,4,"mountn"
"er",1008.5,395.87,"3",45,7,"mountn"
"gr",1160.8,185.63,"4",65,7,"mountn"
"gc",675.49,166.62,"7",20,3,"scostl"
"gc",693.2,132.81,"7",60,7,"ncostl"
"gc",707.06,167.93,"4",25,2,"ncostl"
"gc",895.24,220.64,"4",35,7,"mountn"
"gr",946.1,131.21,"4",30,5,"scostl"
"ec",923.39,454.02,"2",30,4,"scostl"
"gr",907.25,139.28,"3",35,7,"valley"
"gc",669.9,167.26,"5",45,3,"ncostl"
"gc",592.06,151.29,"2",50,3,"scostl"
"gc",735.59,169.54,"5",60,3,"ncostl"
"gc",878.73,186.68,"6",60,7,"scostl"
"gc",842.25,208.55,"4",55,2,"scostl"
"gc",854.32,187.49,"3",65,7,"valley"
"gc",919,170.11,"3",60,4,"ncostl"
"gc",846.09,205.31,"4",30,4,"ncostl"
"gc",963.11,201.82,"7",30,6,"ncostl"
"hp",850.78,185.13,"5",30,3,"scostl"
"ec",832.65,494.96,"6",40,2,"scostl"
"hp",1170.4,238.74,"7",20,4,"valley"
"gc",678.78,194.6,"6",40,5,"scostl"
"er",822.25,417.22,"5",20,5,"valley"
"gc",567.86,132.41,"7",60,4,"mountn"
"er",1034.4,354.9,"4",25,5,"scostl"
"gc",667.62,161.14,"2",60,4,"scostl"
"gc",704.88,176.24,"5",20,2,"ncostl"
"ec",558.64,352.26,"6",20,4,"scostl"
"gc",894.15,180.7,"4",45,7,"valley"
"gc",644.33,173.19,"4",60,6,"ncostl"
"er",876.22,361.2,"6",35,6,"ncostl"
"gc",753.94,147.51,"6",45,2,"scostl"
"gr",956.91,138.81,"4",25,5,"scostl"
"gc",836.9,201.69,"4",50,3,"valley"
"gr",956.59,150.89,"3",50,7,"scostl"
"gr",909.53,169.8,"3",40,5,"valley"
"gc",842.23,196.33,"5",55,7,"scostl"
"gc",921.07,209.88,"4",50,5,"scostl"
"hp",1050,220.55,"2",55,3,"scostl"
"er",812.56,434.05,"7",25,5,"scostl"
"gc",791.25,204.7,"3",30,4,"valley"
"gc",889.86,181.71,"4",60,3,"ncostl"
"gc",930.93,185.75,"7",40,3,"scostl"
"gc",800.77,192.28,"3",25,5,"valley"
"hp",896.84,152.58,"4",60,5,"ncostl"
"hp",1100.8,267.19,"3",50,5,"valley"
"er",1046.1,469.46,"5",25,6,"valley"
"gc",642.43,150.93,"6",55,2,"mountn"
"gc",611.58,152.59,"2",25,3,"valley"
"gc",857.84,228.34,"3",35,6,"ncostl"
"er",864.59,354.56,"3",45,6,"scostl"
"gc",855.49,196.81,"5",35,4,"scostl"
"er",790.9,387.15,"5",45,2,"scostl"
"gr",1136.7,187.21,"6",35,6,"ncostl"
"gr",924.35,167.11,"7",35,7,"ncostl"
"ec",963.27,412.59,"4",30,5,"mountn"
"hp",1117.1,247.29,"7",55,7,"mountn"
"gc",675.55,163.5,"6",50,5,"valley"
"gc",842.6,134.33,"4",40,3,"ncostl"
"gc",609.83,120.1,"7",65,6,"scostl"
"gc",647.73,145.75,"3",65,6,"scostl"
"gc",940.11,176.97,"7",65,3,"ncostl"
"gc",723.83,164.17,"4",20,7,"scostl"
"gc",777.97,187.42,"5",60,4,"ncostl"
"gc",795.93,173.79,"2",55,2,"scostl"
"gr",999.02,162.48,"7",40,4,"scostl"
"gc",903.95,147.97,"5",35,2,"ncostl"
"gc",675.86,125.42,"5",45,3,"valley"
"gc",643.95,145.32,"7",65,3,"ncostl"
"gc",742.98,155.19,"3",40,2,"scostl"
"gr",1008.2,172.26,"4",55,2,"valley"
"hp",1071.3,226.25,"6",30,5,"valley"
"gc",758.45,159.94,"2",20,5,"valley"
"er",983.94,454.57,"4",30,6,"valley"
"er",959.85,427.27,"6",25,3,"valley"
"ec",691.08,416.76,"3",65,6,"scostl"
"gc",786.8,209.64,"7",60,7,"valley"
"gc",910.74,188.52,"3",35,6,"mountn"
"gc",581.17,148.42,"2",40,3,"scostl"
"gc",619.49,140.08,"7",60,5,"scostl"
"er",1110.7,435.7,"4",35,2,"valley"
"er",1155,516.58,"6",55,6,"ncostl"
"gr",689.09,108.11,"5",60,3,"scostl"
"gc",672.21,183.95,"3",55,6,"ncostl"
"gc",595.35,137.9,"6",65,2,"ncostl"
"gc",693.18,162.64,"3",40,4,"mountn"
"gc",860.56,183.07,"3",50,4,"mountn"
"gc",919.09,190.12,"6",40,6,"scostl"
"gc",894.8,171.38,"4",40,5,"scostl"
"gc",628.61,162.06,"4",50,7,"scostl"
"gc",785.96,183.03,"2",35,3,"scostl"
"ec",642.63,412.34,"5",55,5,"valley"
"gc",774.86,137.55,"4",55,2,"ncostl"
"gr",950.04,161.81,"6",60,4,"scostl"
"ec",697.8,424.96,"6",30,3,"scostl"
"gc",964.55,172.97,"7",25,3,"valley"
"gc",597.98,126.78,"4",65,2,"scostl"
"gc",902.31,182.4,"2",50,5,"scostl"
"er",721.17,374.05,"4",25,5,"scostl"
"gc",992.59,208.11,"4",60,4,"scostl"
"gr",1081.3,151.72,"3",60,5,"mountn"
"hp",1173.1,233.05,"7",50,7,"scostl"
"gc",613.79,164.8,"7",30,3,"scostl"
"er",980.37,409.15,"5",20,7,"scostl"
"gc",769.08,163.88,"6",60,6,"ncostl"
"gr",862.54,137.81,"5",55,4,"valley"
"gc",729.01,159.26,"6",40,4,"mountn"
"gr",957.68,174.08,"3",50,4,"valley"
"gc",786.69,190.46,"7",30,2,"ncostl"
"gc",797.65,170.57,"5",50,4,"scostl"
"gc",913.19,181.13,"7",50,6,"scostl"
"er",763.22,453.72,"5",40,5,"scostl"
"gc",753.77,187.31,"5",40,6,"ncostl"
"er",903.4,442.74,"4",60,5,"mountn"
"gc",742.91,161.72,"5",65,4,"valley"
"gc",802.47,187.45,"4",20,2,"scostl"
"gc",643.26,178.94,"7",55,3,"valley"
"gc",1041.9,174.84,"6",65,5,"scostl"
"gc",618.67,147.06,"2",35,2,"valley"
"gc",733.83,181.58,"5",40,2,"ncostl"
"gc",907.2,199.46,"5",55,2,"valley"
"gc",782.29,171.62,"7",65,6,"ncostl"
"gc",971.94,192.59,"4",65,4,"ncostl"
"hp",1254.2,250.21,"7",45,3,"valley"
"gc",854.65,175.7,"6",35,7,"valley"
"gc",764.61,177.66,"5",40,5,"ncostl"
"gc",863.04,189.02,"7",65,3,"scostl"
"gc",571.89,134.6,"7",45,2,"scostl"
"gc",715.32,165.67,"6",35,3,"ncostl"
"er",957.06,420.36,"7",40,2,"scostl"
"gc",907.17,185.81,"6",35,2,"scostl"
"ec",961.1,511.18,"2",50,6,"valley"
"gc",666.31,136.34,"7",65,4,"ncostl"
"gc",791.76,185.23,"5",60,5,"ncostl"
"gr",1100.3,180.55,"3",55,2,"ncostl"
"ec",879.19,575.97,"4",50,3,"scostl"
"gr",1068.7,179.5,"7",65,4,"valley"
"gc",654.39,135.32,"5",45,7,"scostl"
"gc",695.16,161.87,"3",30,7,"scostl"
"gc",731.04,174.85,"2",25,6,"ncostl"
"gr",831.22,138.43,"2",50,7,"scostl"
"gr",1143.4,205.71,"6",30,3,"valley"
"gc",703.64,167.71,"3",65,2,"mountn"
"gr",1000.9,162.97,"6",25,3,"scostl"
"gc",803.4,198.2,"5",25,6,"ncostl"
"gc",659.4,152.6,"3",55,3,"ncostl"
"gc",981.38,214.81,"2",60,6,"scostl"
"gc",852.54,177.59,"7",35,2,"mountn"
"gc",765.75,148.34,"7",45,4,"ncostl"
"er",857.93,466.69,"5",20,5,"scostl"
"hp",1012.2,253.63,"2",30,7,"mountn"
"gr",1127.2,164.06,"3",60,3,"ncostl"
"gc",850.5,196.08,"3",45,7,"ncostl"
"gc",722.37,171.3,"4",65,7,"ncostl"
"hp",1381.4,216.23,"5",40,5,"scostl"
"ec",883.34,398.65,"7",45,7,"valley"
"gr",935.83,162.86,"2",20,6,"ncostl"
"gc",899.85,207.96,"6",60,6,"ncostl"
"er",1026.8,463.4,"4",65,2,"ncostl"
"er",1051.6,380.57,"2",65,3,"valley"
"gc",970.14,241.5,"6",25,2,"mountn"
"gc",647.88,162.48,"7",45,6,"scostl"
"gc",738.82,165.59,"6",30,5,"ncostl"
"gc",834.45,215.72,"6",20,7,"valley"
"ec",840.43,465.6,"3",55,7,"ncostl"
"gc",817.14,201.88,"6",25,2,"valley"
"gc",774.65,165.77,"3",55,3,"scostl"
"ec",596.88,386.58,"5",55,5,"scostl"
"gc",750.16,175.99,"2",40,2,"ncostl"
"gr",825.67,140.7,"3",50,2,"ncostl"
"gc",600.16,140.33,"5",20,4,"mountn"
"gc",953.29,198.14,"4",30,3,"mountn"
"gc",741.79,194.09,"7",60,3,"ncostl"
"gc",908.26,213.75,"7",45,4,"ncostl"
"gr",1102.4,153.56,"5",25,3,"scostl"
"gr",744.82,117.91,"4",30,7,"ncostl"
"gc",788.48,146.92,"3",30,3,"valley"
"gc",938.31,182.64,"5",60,2,"scostl"
"gc",869.95,205.93,"5",50,7,"scostl"
"gr",1087.3,225.95,"6",50,2,"scostl"
"gc",898.55,201.1,"3",20,4,"scostl"
"gc",910.25,201.03,"3",65,3,"scostl"
"gc",766.35,179.25,"5",50,5,"scostl"
"er",935.29,405.26,"6",40,2,"scostl"
"hp",736.83,148.85,"5",60,6,"ncostl"
"ec",829.64,525.43,"7",45,4,"scostl"
"gc",711.19,158.37,"6",65,4,"scostl"
"gc",915.64,238.99,"6",30,2,"valley"
"gc",1034.8,199.33,"3",40,6,"ncostl"
"gc",908.45,205.98,"2",65,2,"ncostl"
"gc",779.19,175.83,"4",65,7,"scostl"
"gc",937.92,189.62,"2",30,7,"scostl"
"gc",766.2,158.75,"7",50,4,"valley"
"er",993.27,438.48,"4",55,3,"scostl"
"hp",859.37,193.41,"2",25,7,"valley"
"gc",823.28,184.27,"7",45,4,"scostl"
"gc",864.49,189.19,"3",30,3,"valley"
"ec",653.52,380.29,"7",60,3,"valley"
"gc",1067.1,213.74,"2",60,5,"ncostl"
"er",906.27,419.63,"4",35,5,"valley"
"gc",1041.9,247.56,"4",60,7,"scostl"
"gc",711.16,169.54,"2",50,7,"valley"
"ec",802.2,511.61,"4",35,5,"valley"
"gc",431.83,131.46,"3",25,5,"ncostl"
"gr",911.72,150.36,"5",25,4,"mountn"
"gc",708.57,130.29,"5",55,4,"scostl"
"gc",613.98,149.04,"3",20,4,"ncostl"
"gr",1104.6,163.61,"3",60,6,"valley"
"gr",1010.3,169.17,"4",45,3,"scostl"
"hp",652.9,171.6,"7",55,7,"mountn"
"gc",810.99,178.13,"2",30,7,"scostl"
"gr",681.65,155.09,"6",30,2,"ncostl"
"gc",873.49,165.72,"2",55,6,"mountn"
"ec",708.19,368.24,"3",50,4,"mountn"
"gc",767.34,148.97,"5",40,2,"scostl"
"gr",967.45,156.96,"7",20,7,"mountn"
"gc",812.28,173.61,"6",55,7,"scostl"
"hp",966.22,202.34,"5",50,7,"valley"
"gr",901.27,145.76,"7",35,7,"ncostl"
"gr",785.7,159.16,"6",30,2,"scostl"
"gc",830.77,196.62,"3",20,4,"ncostl"
"gc",811.28,175.73,"4",20,2,"mountn"
"gc",832.41,194.76,"3",35,5,"scostl"
"er",762.06,421.8,"2",45,3,"ncostl"
"gc",596.99,144.67,"7",25,5,"scostl"
"gc",477.22,132.51,"6",30,6,"mountn"
"er",825,298.12,"3",50,2,"ncostl"
"gc",781.44,188.15,"3",25,6,"scostl"
"gc",948.78,217.01,"3",35,7,"ncostl"
"gr",788.14,134.12,"3",30,2,"ncostl"
"ec",769.68,490.98,"7",50,6,"scostl"
"gc",849.1,185.74,"3",45,2,"valley"
"gc",530,147.85,"6",20,6,"ncostl"
"gr",1062.9,185.52,"3",25,5,"valley"
"gc",774.51,140.73,"6",50,6,"scostl"
"gc",475.79,132.84,"6",25,7,"valley"
"er",1012.5,441.89,"4",35,3,"mountn"
"gc",877.2,199.04,"3",30,2,"ncostl"
"gr",931.71,128.13,"5",65,4,"scostl"
"gc",689.46,184.84,"5",40,2,"scostl"
"gc",660.44,139.85,"6",50,7,"scostl"
"gc",1063,191.84,"7",40,3,"ncostl"
"gc",830.48,194.03,"6",25,3,"scostl"
"hp",864.3,201.13,"6",20,2,"ncostl"
"er",1050.2,414.36,"5",50,5,"scostl"
"gc",793.66,177.64,"4",40,2,"ncostl"
"gc",808.69,175.92,"6",50,6,"scostl"
"gc",860.04,192.27,"4",40,6,"ncostl"
"gc",796.59,182.61,"4",55,7,"valley"
"gc",781.83,172.67,"2",65,5,"scostl"
"gr",1049.6,180.18,"4",45,7,"scostl"
"gc",723.49,192.59,"2",65,2,"valley"
"er",809.95,456.81,"3",25,7,"scostl"
"gc",789.32,177.37,"3",40,3,"ncostl"
"er",993.83,419.13,"2",35,7,"ncostl"
"ec",690.63,399.7,"7",35,7,"ncostl"
"gc",929.63,171.22,"6",45,5,"ncostl"
"gc",839.87,155.82,"2",35,2,"ncostl"
"gc",983.2,226.87,"6",20,3,"mountn"
"gc",735.49,179.62,"2",35,5,"mountn"
"gc",622.31,113.48,"2",30,4,"scostl"
"gc",555.5,157.36,"6",35,6,"ncostl"
"gc",646.26,161.06,"4",65,4,"mountn"
"gr",927.71,145.2,"3",60,2,"mountn"
"gc",745.67,166.62,"3",55,3,"scostl"
"gr",776.26,152.05,"3",60,5,"valley"
"ec",657.91,420.94,"5",60,4,"scostl"
"gc",626,157.71,"7",40,3,"scostl"
"er",1029.8,396.42,"3",25,7,"scostl"
"gc",827.49,199.15,"5",40,6,"scostl"
"gc",624.08,164.85,"5",40,4,"valley"
"gc",722.01,165.42,"4",60,2,"scostl"
"gc",760.92,165.12,"5",20,6,"scostl"
"gc",753.74,132.03,"6",30,3,"scostl"
"er",1058,371.87,"6",30,7,"ncostl"
"er",1080.6,421.12,"2",60,6,"scostl"
"gc",871.19,185.92,"3",45,3,"ncostl"
"gc",743.66,179.04,"6",55,2,"scostl"
"gc",883.55,187.96,"4",40,4,"valley"
"gc",836.6,181.28,"6",40,7,"ncostl"
"gc",648.85,165.03,"2",50,5,"scostl"
"ec",717.59,465.46,"7",30,5,"scostl"
"gc",944.4,234.88,"7",60,4,"scostl"
"gc",824.71,188.34,"4",20,5,"ncostl"
"gc",669.94,131.08,"7",25,3,"valley"
"gc",852.54,202,"2",65,7,"ncostl"
"gc",793.04,191.91,"5",60,7,"scostl"
"er",685.23,403.77,"6",20,2,"valley"
"gr",843.15,159.28,"4",55,2,"scostl"
"gc",1057,187.33,"3",55,7,"mountn"
"gc",712.09,130.65,"4",55,5,"valley"
"hp",1096.7,224.85,"5",30,6,"scostl"
"hp",1126.4,212.41,"2",20,2,"scostl"
"gc",770.66,122.1,"4",65,6,"valley"
"gc",983.02,198.94,"4",20,4,"scostl"
"gc",796.82,167.5,"5",55,6,"valley"
"er",1067.5,504.76,"5",40,2,"scostl"
"gc",983.79,177.69,"7",60,5,"valley"
"gc",751.76,149.62,"5",25,3,"scostl"
"gc",697.23,184.94,"6",55,4,"mountn"
"gc",798.5,177.61,"2",65,3,"ncostl"
"gc",693.9,140.43,"7",65,4,"valley"
"ec",916.23,443.13,"3",60,3,"valley"
"gc",839.18,203.69,"3",30,5,"scostl"
"gc",611.29,143.8,"3",45,4,"ncostl"
"gc",745.39,161.38,"4",50,5,"valley"
"gc",719.99,156.39,"3",45,4,"valley"
"gc",673.29,160.2,"4",45,5,"scostl"
"gc",838.73,170.34,"5",50,3,"scostl"
"gc",792.06,183.65,"3",60,3,"scostl"
"er",1064.1,409.26,"6",45,2,"scostl"
"gc",766.39,142.61,"6",20,4,"mountn"
"gc",1128.5,207.4,"7",45,7,"scostl"
"gc",787.1,175.05,"5",60,7,"scostl"
"gc",860.56,211.04,"5",50,6,"scostl"
"gc",893.94,175.8,"2",65,4,"ncostl"
